Name,Test RMSE
E07000133,8.881287432
E08000007,8.104703064
E08000013,7.188498895
E06000030,6.830617017
E06000024,8.492949424
E06000018,8.003604495
E06000019,9.280307637
E06000025,7.514485006
E06000031,7.157400927
E08000012,7.907018023
E08000006,6.818629961
E07000132,8.136450613
E07000126,7.836723138
E07000085,7.983164592
E07000091,8.439965691
E07000046,10.9156513
E07000244,8.662528761
,
Average,8.157148029
